number,district,object,area_of_the_roadway,area_of_the_sidewalk,all,price,note
1,АДМИРАЛТЕЙСКИЙ РАЙОН,Клинский пр.,11.86,5.06,16.92,42820.31,
2,АДМИРАЛТЕЙСКИЙ РАЙОН,Калинкин пер.,0.5,0.23,0.73,1622.22,
3,АДМИРАЛТЕЙСКИЙ РАЙОН,наб. Обводного кан. от Подъездного пер. до ул. Циолковского (нечетная сторона),57.81,16.57,74.38,148479.46,
4,АДМИРАЛТЕЙСКИЙ РАЙОН,Московский пр. от Сенной пл. до наб. Обводного кан.,41.45,0.0,41.45,71071.03,
5,ВАСИЛЕОСТРОВСКИЙ РАЙОН,Тучков пер.,4.27,2.49,6.76,35537.07,
6,ВАСИЛЕОСТРОВСКИЙ РАЙОН,наб. р. Смоленки (нечетная сторона) от Уральской ул. до пр. Кима,10.43,3.54,13.97,31168.37,
7,ВЫБОРГСКИЙ РАЙОН,пр. Энгельса от Новосильцевского пер. до Северного пр.,79.0,30.96,109.96,341074.7426,
8,ВЫБОРГСКИЙ РАЙОН,Выборгское шоссе от пр. Энгельса до КАД,103.78,32.56,136.34,249877.537,
9,ВЫБОРГСКИЙ РАЙОН,ул. Ивана Фомина ,12.51,1.28,13.79,26936.57465,
10,ВЫБОРГСКИЙ РАЙОН,Петровская ул.,5.3,0.0,5.3,6858.9027,
11,ВЫБОРГСКИЙ РАЙОН,Елизаветинская ул.,6.55,2.36,8.91,16053.63086,
12,ВЫБОРГСКИЙ РАЙОН,пр. Луначарского от Выборгского шоссе до пр. Культуры,77.09,12.28,89.37,171124.5135,
13,ВЫБОРГСКИЙ РАЙОН,Суздальский пр. от ул. Симонова до Выборгского шоссе,18.45,0.16,18.61,22229.07019,
14,ВЫБОРГСКИЙ РАЙОН,Лесной пр. от Литовской ул. до 1-го Муринского пр.,31.72,10.99,42.71,80440.72425,
15,ВЫБОРГСКИЙ РАЙОН,Михайловская дорога от дор. в Каменку до Заманиловской ул.,12.56,0.0,12.56,36462.04,
16,ВЫБОРГСКИЙ РАЙОН,Северный пр. от пр. Энгельса до пр. Культуры,84.37,18.9,103.27,262632.8333,
17,КАЛИНИНСКИЙ РАЙОН,пр. Непокоренных от пл. Мужества до Меншиковского пр.,80.18,34.93,115.11,218616.5214,
18,КАЛИНИНСКИЙ РАЙОН,Северный пр. от ул. Вавиловых до ул. Руставели,39.33,6.59,45.92,94700.14597,
19,КАЛИНИНСКИЙ РАЙОН,Северная пл.,5.13,1.91,7.04,14277.45463,
20,КАЛИНИНСКИЙ РАЙОН,Кондратьевский пр. от ул. Жукова до пр. Мечникова,39.2,22.06,61.26,124411.1668,
21,КАЛИНИНСКИЙ РАЙОН,Амурская ул. от Пискаревского мемориального кладбища до ул. Верности,3.4,0.2,3.6,7211.81367,
