num,name,dates,place,count
1,Этап Кубка мира по санному спорту (дисциплина – натурбан),январь,г. Москва,100
2,Этап Кубка мира по сноуборду (дисциплина – биг-эйр) ,январь,г. Москва,35
3,Международное соревнование «Этап Тура Чемпионов» по керлингу среди мужчин ,январь,г. Москва,96
4,Международные соревнования «Турнир памяти И.М. Поддубного» по спортивной борьбе (дисциплина – греко-римская борьба) среди мужчин ,январь,г. Москва,250
5,Международные соревнования «Турнир памяти Олимпийского чемпиона Ивана Ярыгина» по спортивной борьбе (дисциплина – вольная борьба) среди мужчин и женщин ,январь,г. Красноярск,260
6,Международные соревнования «XXIX Международный юношеский турнир по футболу памяти первого вице-президента ФИФА В.А. Гранаткина» среди юношей до 19 лет,январь,г. Санкт-Петербург,404
7,Первенство мира по хоккею с мячом среди юниоров 18-19 лет,январь,г. Сыктывкар,112
8,III зимние Всемирные военные игры,февраль,г. Сочи,1225
9,Международные соревнования, посвящённые памяти Российских воинов, погибших в Афганистане и других горячих точках по боксу среди юниоров 17-18 лет,февраль,г. Комсомольск-на-Амуре,180
10,Международные соревнования «Кубок Ю.А. Павловского» по конькобежному спорту (дисциплина – шорт-трек),февраль,г. Санкт-Петербург,185
11,I финал чемпионат мира по мотоциклетному спорту (дисциплина – гонки на льду – класс 500) среди мужчин,февраль,г. Тольятти,54
12,II финал чемпионат мира по мотоциклетному спорту (дисциплина – гонки на льду – класс 500) среди мужчин,февраль,г. Шадринск,54
13,Первенство Европы по настольному теннису среди юниоров и юниорок до 22 лет,февраль,г. Сочи,168
14,"Чемпионат мира по парусному спорту (дисциплина – класс - Зимний виндсерфинг, класс - сноукайтинг) (№ 25368)",февраль,г. Тольятти,100
15,1 раунд Командного чемпионата мира «Кубок Федерации» (II мировая группа) по теннису среди женщин (Россия-Тайвань),февраль,г. Москва,20
16,Этап Кубка мира по фристайлу (дисциплина – ски-кросс),февраль,г. Миасс,230
17,Первенство мира по хоккею с мячом среди девушек 16-17 лет,февраль,г. Иркутск,156
18,Гран-При и Международные соревнования по художественной гимнастике среди женщин и юниорок ,февраль,г. Москва,400
19,Международные соревнования «Еврохоккейтур» по хоккею среди мужских команд (Россия-Финляндия) ,февраль,г. Москва,64
